SNR_dB,rho,Near_user_PEP,Far_user_PEP,Average_PEP,kappa,selected_relay,selected_relay_gain
10.00000,0.47513,0.13666,0.15110,0.14388,2.00000,2.00000,0.43179
10.00000,0.47965,0.13733,0.15174,0.14453,2.00000,2.00000,0.43179
10.00000,0.48417,0.13801,0.15240,0.14520,2.00000,2.00000,0.43179
10.00000,0.48869,0.13870,0.15307,0.14589,2.00000,2.00000,0.43179
10.00000,0.49322,0.13941,0.15376,0.14658,2.00000,2.00000,0.43179
10.00000,0.49774,0.14013,0.15445,0.14729,2.00000,2.00000,0.43179
10.00000,0.50226,0.14086,0.15516,0.14801,2.00000,2.00000,0.43179
10.00000,0.50678,0.14161,0.15589,0.14875,2.00000,2.00000,0.43179
10.00000,0.51131,0.14237,0.15662,0.14950,2.00000,2.00000,0.43179
10.00000,0.51583,0.14314,0.15737,0.15026,2.00000,2.00000,0.43179
10.00000,0.52035,0.14393,0.15814,0.15103,2.00000,2.00000,0.43179
10.00000,0.52487,0.14473,0.15891,0.15182,2.00000,2.00000,0.43179
10.00000,0.52940,0.14554,0.15970,0.15262,2.00000,2.00000,0.43179
10.00000,0.53392,0.14637,0.16051,0.15344,2.00000,2.00000,0.43179
10.00000,0.53844,0.14721,0.16132,0.15427,2.00000,2.00000,0.43179
10.00000,0.54296,0.14807,0.16216,0.15511,2.00000,2.00000,0.43179
10.00000,0.54749,0.14894,0.16300,0.15597,2.00000,2.00000,0.43179
10.00000,0.55201,0.14983,0.16386,0.15685,2.00000,2.00000,0.43179
10.00000,0.55653,0.15073,0.16474,0.15773,2.00000,2.00000,0.43179
10.00000,0.56106,0.15165,0.16563,0.15864,2.00000,2.00000,0.43179
10.00000,0.56558,0.15258,0.16653,0.15956,2.00000,2.00000,0.43179
10.00000,0.57010,0.15353,0.16745,0.16049,2.00000,2.00000,0.43179
10.00000,0.57462,0.15449,0.16839,0.16144,2.00000,2.00000,0.43179
10.00000,0.57915,0.15547,0.16934,0.16240,2.00000,2.00000,0.43179
10.00000,0.58367,0.15646,0.17031,0.16339,2.00000,2.00000,0.43179
10.00000,0.58819,0.15748,0.17129,0.16438,2.00000,2.00000,0.43179
10.00000,0.59271,0.15851,0.17229,0.16540,2.00000,2.00000,0.43179
10.00000,0.59724,0.15955,0.17331,0.16643,2.00000,2.00000,0.43179
10.00000,0.60176,0.16061,0.17434,0.16748,2.00000,2.00000,0.43179
10.00000,0.60628,0.16170,0.17539,0.16854,2.00000,2.00000,0.43179
10.00000,0.61080,0.16279,0.17646,0.16963,2.00000,2.00000,0.43179
10.00000,0.61533,0.16391,0.17754,0.17073,2.00000,2.00000,0.43179
10.00000,0.61985,0.16505,0.17865,0.17185,2.00000,2.00000,0.43179
10.00000,0.62437,0.16620,0.17977,0.17298,2.00000,2.00000,0.43179
10.00000,0.62889,0.16738,0.18091,0.17414,2.00000,2.00000,0.43179
10.00000,0.63342,0.16857,0.18207,0.17532,2.00000,2.00000,0.43179
10.00000,0.63794,0.16978,0.18325,0.17651,2.00000,2.00000,0.43179
10.00000,0.64246,0.17102,0.18444,0.17773,2.00000,2.00000,0.43179
10.00000,0.64698,0.17227,0.18566,0.17897,2.00000,2.00000,0.43179
10.00000,0.65151,0.17355,0.18690,0.18022,2.00000,2.00000,0.43179
10.00000,0.65603,0.17484,0.18816,0.18150,2.00000,2.00000,0.43179
10.00000,0.66055,0.17616,0.18944,0.18280,2.00000,2.00000,0.43179
10.00000,0.66508,0.17750,0.19074,0.18412,2.00000,2.00000,0.43179
10.00000,0.66960,0.17887,0.19207,0.18547,2.00000,2.00000,0.43179
10.00000,0.67412,0.18026,0.19341,0.18683,2.00000,2.00000,0.43179
10.00000,0.67864,0.18167,0.19478,0.18823,2.00000,2.00000,0.43179
10.00000,0.68317,0.18310,0.19618,0.18964,2.00000,2.00000,0.43179
